CensusTract,County,DI_ID,FoodProducing,Latitude,Longitude,ObjectID,State,GardenName,Address,NeighborhoodName
22902,X,NY177,N/A,40.844045,-73.907616,X297,NY,Garden of Eden - Bronx,1686 Weeks Avenue,N/A
371,X,NY178,N/A,40.848425,-73.885543,X293,NY,Garden of Happiness,2156-2160 Prospect Avenue,Crotona
275,B,NY179,N/A,40.683685,-73.939967,NA,NY,Garden of Hope,392 Hancock Street,N/A
22902,X,NY180,N/A,40.844009,-73.907641,X298,NY,Garden of Life,1685 Weeks Avenue,N/A
20102,M,NY181,N/A,40.804522,-73.955636,M341,NY,Garden of Love,302 West 116th Street,Upper West Side
N/A,B,NY182,N/A,N/A,N/A,B399,NY,Garden of Union (Annie's Garden),"634-36, 640 Union Street",Park Slope
N/A,X,NY183,N/A,N/A,N/A,NA,NY,Garden Of Youth,E 182nd Street,Crotona
N/A,M,NY184,N/A,N/A,N/A,M071A,NY,Garden People,West 91st and Riverside Drive,N/A
2601,M,NY185,N/A,40.722906,-73.981662,M329,NY,Generation X Cultural Garden,270-272 East 4th Street,East Village
1134,B,NY186,N/A,40.667834,-73.900611,NA,NY,Genesis Homes Garden,298-304 Snediker Avenue,East New York
N/A,Q,NY187,N/A,N/A,N/A,Q488,NY,George Eagle Carr Community Garden,148th Street,Jamaica
260,Q,NY188,N/A,40.692461,-73.794877,Q489,NY,George Washington Carver Botanical Garden,109-13 156th Street,N/A
277,M,NY189,N/A,40.855954,-73.927051,NA,NY,George Washington High School,549 Audubon Avenue,Washington Heights
N/A,Q,NY190,N/A,N/A,N/A,NA,NY,P.S. 251Q,144-51 144th Road,Springfield Gardens
13,B,NY191,N/A,40.694926,-73.986015,NA,NY,George Westinghouse HS - Marvin's Garden,"105 Johnson Street (Tech), Brooklyn, NY 11201",Downtown Brooklyn
1128,B,NY192,N/A,40.661178,-73.894558,B415,NY,Georgia Avenue Community Garden,328 New Lots Avenue,East New York
916,B,NY193,N/A,40.659215,-73.909847,B436,NY,Gethsemane Garden,144 Newport Street,Brownsville
1152,B,NY194,N/A,40.674105,-73.88988,B468,NY,Glenmore Hendrix Block Assoc.,555 Glenmore Avenue,East New York
N/A,X,NY195,N/A,N/A,N/A,NA,NY,Glover Street Community Garden,"1642 Glover Street, Bronx NY 10462",N/A
1164,B,NY196,N/A,40.670738,-73.879951,B469,NY,Good Shepherd's Community Group,555-557 Shepherd Avenue,East New York
N/A,B,NY197,N/A,N/A,N/A,B428,NY,Goodwin Gardens,46 - 62 Goodwin St.,N/A
405,B,NY198,N/A,40.682511,-73.907811,B470,NY,Granite Street Block Association,28-32 Granite Street,Bushwick
18101,X,NY199,N/A,40.830303,-73.916893,NA,NY,Grant Avenue Garden,1062 Grant Avenue,N/A
515,B,NY200,N/A,40.719516,-73.952969,B058A,NY,Green Dome,229 North 12th Street,Greenpoint
1196,B,NY201,N/A,40.676272,-73.875077,B471,NY,Green Gems,947-953 Glenmore Avenue,East New York
133,B,NY202,N/A,40.676008,-73.980745,NA,NY,Green Space @ President Street,222 5th Avenue,Park Slope
243,B,NY203,N/A,40.688329,-73.951722,B472,NY,Greene Avenue United Neighbors Association,490 Greene Avenue,N/A
